"Periode","Data Inflasi"
"Januari 2003","8.68"
"Februari 2003","7.6"
"Maret 2003","7.17"
"April 2003","7.62"
"Mei 2003","7.15"
"Juni 2003","6.98"
"Juli 2003","6.27"
"Agustus 2003","6.51"
"September 2003","6.33"
"Oktober 2003","6.48"
"November 2003","5.53"
"Desember 2003","5.16"
"Januari 2004","4.82"
"Februari 2004","4.6"
"Maret 2004","5.11"
"April 2004","5.92"
"Mei 2004","6.47"
"Juni 2004","6.83"
"Juli 2004","7.2"
"Agustus 2004","6.67"
"September 2004","6.27"
"Oktober 2004","6.22"
"November 2004","6.18"
"Desember 2004","6.4"
"Januari 2005","7.32"
"Februari 2005","7.15"
"Maret 2005","8.81"
"April 2005","8.12"
"Mei 2005","7.4"
"Juni 2005","7.42"
"Juli 2005","7.84"
"Agustus 2005","8.33"
"September 2005","9.06"
"Oktober 2005","17.89"
"November 2005","18.38"
"Desember 2005","17.11"
"Januari 2006","17.03"
"Februari 2006","17.92"
"Maret 2006","15.74"
"April 2006","15.4"
"Mei 2006","15.6"
"Juni 2006","15.53"
"Juli 2006","15.15"
"Agustus 2006","14.9"
"September 2006","14.55"
"Oktober 2006","6.29"
"November 2006","5.27"
"Desember 2006","6.6"
"Januari 2007","6.26"
"Februari 2007","6.3"
"Maret 2007","6.52"
"April 2007","6.29"
"Mei 2007","6.01"
"Juni 2007","5.77"
"Juli 2007","6.06"
"Agustus 2007","6.51"
"September 2007","6.95"
"Oktober 2007","6.88"
"November 2007","6.71"
"Desember 2007","6.59"
"Januari 2008","7.36"
"Februari 2008","7.4"
"Maret 2008","8.17"
"April 2008","8.96"
"Mei 2008","10.38"
"Juni 2008","11.03"
"Juli 2008","11.9"
"Agustus 2008","11.85"
"September 2008","12.14"
"Oktober 2008","11.77"
"November 2008","11.68"
"Desember 2008","11.06"
"Januari 2009","9.17"
"Februari 2009","8.6"
"Maret 2009","7.92"
"April 2009","7.31"
"Mei 2009","6.04"
"Juni 2009","3.65"
"Juli 2009","2.71"
"Agustus 2009","2.75"
"September 2009","2.83"
"Oktober 2009","2.57"
"November 2009","2.41"
"Desember 2009","2.78"
"Januari 2010","3.72"
"Februari 2010","3.81"
"Maret 2010","3.43"
"April 2010","3.91"
"Mei 2010","4.16"
"Juni 2010","5.05"
"Juli 2010","6.22"
"Agustus 2010","6.44"
"September 2010","5.8"
"Oktober 2010","5.67"
"November 2010","6.33"
"Desember 2010","6.96"
"Januari 2011","7.02"
"Februari 2011","6.84"
"Maret 2011","6.65"
"April 2011","6.16"
"Mei 2011","5.98"
"Juni 2011","5.54"
"Juli 2011","4.61"
"Agustus 2011","4.79"
"September 2011","4.61"
"Oktober 2011","4.42"
"November 2011","4.15"
"Desember 2011","3.79"
"Januari 2012","3.65"
"Februari 2012","3.56"
"Maret 2012","3.97"
"April 2012","4.5"
"Mei 2012","4.45"
"Juni 2012","4.53"
"Juli 2012","4.56"
"Agustus 2012","4.58"
